numbers,target
"25,75,4,6,7,9",1041
"25,50,4,6,8,9",845
"25,75,3,6,8,9",971
"25,50,75,4,7,9",909
"25,75,4,6,8,9",922
"25,50,3,6,7,9",830
"25,75,4,6,7,8",947
"25,50,4,7,8,9",860
"25,75,3,4,8,9",877
"25,50,6,7,8,9",944
"2,3,5,7,9,100",957
"2,6,7,8,9,100",982
"2,4,5,6,7,75",987
"3,4,5,6,25,100",858
"3,4,5,7,9,25",889
"2,5,7,8,50,100",937
"3,5,7,8,9,50",862
"4,5,6,7,50,100",927
"3,4,6,8,9,25",844
"2,3,5,6,7,100",857
"2,3,5,6,8,50",825
"2,5,6,7,50,75",887
"2,3,4,5,9,25",946
"2,3,5,6,50,100",972
"2,5,8,9,25,75",822
"4,6,8,9,25,100",995
"3,4,6,9,25,75",923
"2,5,6,8,9,50",941
"3,7,8,9,25,50",948
"4,5,7,9,50,100",989
